title,distance,prices
2019 Hyundai Verna SX Plus 1.6 CRDi AT,"67,370 km  |  Diesel  |  Hyderabad",Rs. 10.13 Lakh
2012 Maruti Suzuki Wagon R 1.0 LXi,"22,820 km  |  Petrol  |  Hyderabad",Rs. 3.58 Lakh
2013 Maruti Suzuki Alto 800 Lxi,"49,661 km  |  Petrol  |  Hyderabad",Rs. 2.46 Lakh
2015 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],"1,01,479 km  |  Petrol  |  Hyderabad",Rs. 3.62 Lakh
2017 Datsun redi-GO T (O) [2016-2019],"65,377 km  |  Petrol  |  Hyderabad",Rs. 2.7 Lakh
2013 Maruti Suzuki Swift VDi,"97,085 km  |  Diesel  |  Hyderabad",Rs. 4.02 Lakh
2011 Honda City 1.5 S MT,"90,454 km  |  Petrol  |  Hyderabad",Rs. 3.56 Lakh
2016 Maruti Suzuki Wagon R 1.0 VXI,"55,924 km  |  Petrol  |  Hyderabad",Rs. 3.93 Lakh
2016 Maruti Suzuki Alto 800 Lxi,"55,386 km  |  Petrol  |  Hyderabad",Rs. 2.89 Lakh
2016 Maruti Suzuki Alto 800 Lxi,"72,784 km  |  Petrol  |  Hyderabad",Rs. 2.67 Lakh
2018 Renault Kwid 1.0 RXT Opt [2016-2019],"34,810 km  |  Petrol  |  Hyderabad",Rs. 3.42 Lakh
2017 Datsun redi-GO T (O) [2016-2019],"18,876 km  |  Petrol  |  Hyderabad",Rs. 2.91 Lakh
2014 Maruti Suzuki Ritz Lxi BS-IV,"97,001 km  |  Petrol  |  Hyderabad",Rs. 2.35 Lakh
2014 Hyundai i10 Sportz 1.1 iRDE2 [2010--2017],"69,797 km  |  Petrol  |  Hyderabad",Rs. 3.58 Lakh
2016 Hyundai Xcent S 1.2,"93,888 km  |  Petrol  |  Hyderabad",Rs. 4.59 Lakh
2013 Hyundai i20 Magna 1.2,"56,561 km  |  Petrol  |  Hyderabad",Rs. 4.1 Lakh
2018 Maruti Suzuki Ertiga VDI SHVS,"91,112 km  |  Diesel  |  Hyderabad",Rs. 7.96 Lakh
2019 Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"42,899 km  |  Petrol  |  Hyderabad",Rs. 5.49 Lakh
2019 Renault Kwid 1.0 RXT AMT Opt [2016-2019],"28,827 km  |  Petrol  |  Hyderabad",Rs. 4.17 Lakh
2017 Hyundai Eon Magna +,"43,958 km  |  Petrol  |  Hyderabad",Rs. 3.03 Lakh
2014 Maruti Suzuki Alto 800 Lxi,"52,778 km  |  Petrol  |  Hyderabad",Rs. 2.58 Lakh
2022 Mahindra Thar LX Hard Top Diesel MT,"32,000 km  |  Diesel  |  Hyderabad",Rs. 17.5 Lakh
2022 Maruti Suzuki Eeco 5 STR AC,"11,000 km  |  Petrol  |  Hyderabad",Rs. 6.35 Lakh
2021 Mahindra Thar LX Convertible Diesel MT,"18,700 km  |  Diesel  |  Hyderabad",Rs. 17 Lakh
2019 Honda City 4th Generation ZX CVT Petrol [2017-2019],"96,940 km  |  Petrol  |  Hyderabad",Rs. 8.89 Lakh
2016 Volkswagen Polo Highline1.5L (D),"63,094 km  |  Diesel  |  Hyderabad",Rs. 5.8 Lakh
2016 Maruti Suzuki Alto 800 LXi (O),"91,517 km  |  Petrol  |  Hyderabad",Rs. 2.47 Lakh
2013 Honda Brio VX AT,"70,800 km  |  Petrol  |  Hyderabad",Rs. 3.62 Lakh
2016 Honda Brio S MT,"54,659 km  |  Petrol  |  Hyderabad",Rs. 3.71 Lakh
2014 Maruti Suzuki Alto 800 Lxi,"80,702 km  |  Petrol  |  Hyderabad",Rs. 2.28 Lakh
2019 Maruti Suzuki Alto VXI,"76,594 km  |  Petrol  |  Hyderabad",Rs. 3.27 Lakh
2018 Datsun GO T [2018-2019],"62,601 km  |  Petrol  |  Hyderabad",Rs. 3.57 Lakh
2014 Maruti Suzuki Celerio ZXi,"1,07,844 km  |  Petrol  |  Hyderabad",Rs. 3.15 Lakh
2013 Maruti Suzuki Wagon R 1.0 VXI+,"54,817 km  |  Petrol  |  Hyderabad",Rs. 3.02 Lakh
2013 Honda Brio V MT,"60,896 km  |  Petrol  |  Hyderabad",Rs. 3.3 Lakh
2011 Hyundai i10 Sportz 1.2 AT Kappa2,"31,057 km  |  Petrol  |  Hyderabad",Rs. 3.54 Lakh
2019 Skoda Rapid Style 1.5 TDI AT,"1,07,001 km  |  Diesel  |  Hyderabad",Rs. 9.11 Lakh
2022 Nissan Magnite XV Turbo CVT [2020],"12,007 km  |  Petrol  |  Hyderabad",Rs. 9.13 Lakh
2017 Hyundai Creta SX 1.6 CRDI (O),"1,22,313 km  |  Diesel  |  Hyderabad",Rs. 10.43 Lakh
