title,distance,prices
2022 Mahindra Thar LX Convertible Diesel AT,"13,991 km  |  Diesel  |  Kolkata",Rs. 14 Lakh
2018 Mercedes-Benz GLA 200 d Sport,"28,619 km  |  Diesel  |  Kolkata",Rs. 20 Lakh
2022 Hyundai Tucson GLS 4WD AT Diesel,"36,884 km  |  Diesel  |  Kolkata",Rs. 22 Lakh
2018 Mercedes-Benz GLA 200 d Sport,"28,619 km  |  Diesel  |  Kolkata",Rs. 20 Lakh
2015 Audi A8 L 50 TDI,"39,900 km  |  Diesel  |  Kolkata",Rs. 32 Lakh
2023 Toyota Fortuner Legender 4X4 AT 2.8 Legender,"20,839 km  |  Diesel  |  Kolkata",Rs. 45 Lakh
2017 Toyota Fortuner 2.8 4x2 MT [2016-2020],"40,000 km  |  Diesel  |  Kolkata",Rs. 23 Lakh
2022 Audi A4 Technology 40 TFSI [2021-2022],"2,480 km  |  Petrol  |  Kolkata",Rs. 31.5 Lakh
2019 Hyundai Venue SX (O) 1.0 Turbo,"34,766 km  |  Petrol  |  Kolkata",Rs. 7.25 Lakh
2013 Porsche Panamera 3.0 Diesel,"37,000 km  |  Diesel  |  Kolkata",Rs. 29 Lakh
2022 Skoda Kushaq Style 1.5L TSI MT,"27,700 km  |  Petrol  |  Kolkata",Rs. 14.25 Lakh
2022 Hyundai Tucson GLS 4WD AT Diesel,"36,884 km  |  Diesel  |  Kolkata",Rs. 22 Lakh
2018 Lamborghini Urus Twin-Turbo V8,"25,000 km  |  Petrol  |  Kolkata",Rs. 3.6 Crore
2020 BMW 6 Series GT 620d Luxury Line [2019-2019],"25,000 km  |  Diesel  |  Kolkata",Rs. 43.5 Lakh
2014 Porsche Cayenne Diesel,"50,139 km  |  Diesel  |  Kolkata",Rs. 26 Lakh
2021 MG Astor Savvy 1.5 CVT S Red [2021-2023],"22,939 km  |  Petrol  |  Kolkata",Rs. 12.5 Lakh
2022 Toyota Fortuner Legender 4X4 AT 2.8 Legender,"3,385 km  |  Diesel  |  Kolkata",Rs. 56 Lakh
2016 Toyota Corolla Altis G AT Petrol,"36,000 km  |  Petrol  |  Kolkata",Rs. 8.15 Lakh
2023 Tata Harrier XZ Plus,"7,426 km  |  Diesel  |  Kolkata",Rs. 20.25 Lakh
2020 Kia Seltos GTX Plus AT 1.4 [2019-2020],"43,487 km  |  Petrol  |  Kolkata",Rs. 13.5 Lakh
2013 Audi A6 2.0 TDI Premium,"52,000 km  |  Diesel  |  Kolkata",Rs. 10.75 Lakh
2014 Ford Endeavour 3.0L 4x4 AT,"44,000 km  |  Diesel  |  Kolkata",Rs. 8.5 Lakh
2015 Toyota Fortuner 3.0 4x2 MT,"1,35,000 km  |  Diesel  |  Kolkata",Rs. 13.75 Lakh
2020 MG Hector Sharp 1.5 DCT Petrol [2019-2020],"37,628 km  |  Petrol  |  Kolkata",Rs. 14 Lakh
2014 Audi Q3 2.0 TDI Base Grade,"51,000 km  |  Diesel  |  Kolkata",Rs. 9.5 Lakh
2020 Audi A6 Technology 45 TFSI,"16,700 km  |  Petrol  |  Kolkata",Rs. 42.5 Lakh
2016 Mercedes-Benz C-Class C 200 Avantgarde,"19,554 km  |  Petrol  |  Kolkata",Rs. 20 Lakh
2018 Skoda Superb L&K TSI AT,"55,000 km  |  Petrol  |  Kolkata",Rs. 15.5 Lakh
2023 Audi Q7 Premium Plus 55 TFSI,"12,183 km  |  Petrol  |  Kolkata",Rs. 86 Lakh
2018 Mercedes-Benz C-Class C 220d Progressive [2018-2019],"30,000 km  |  Diesel  |  Kolkata",Rs. 27 Lakh
2021 Land Rover Defender 110 HSE,"17,488 km  |  Petrol  |  Kolkata",Rs. 1.14 Crore
2020 MG Hector Sharp 1.5 DCT Petrol [2019-2020],"37,628 km  |  Petrol  |  Kolkata",Rs. 14 Lakh
2021 MG Astor Savvy 1.5 CVT S Red [2021-2023],"22,939 km  |  Petrol  |  Kolkata",Rs. 12.5 Lakh
2022 Toyota Fortuner Legender 4X4 AT 2.8 Legender,"3,385 km  |  Diesel  |  Kolkata",Rs. 56 Lakh
2021 Mahindra Thar LX Convertible Petrol AT,"11,673 km  |  Petrol  |  Kolkata",Rs. 12 Lakh
2014 Honda City V Diesel,"44,575 km  |  Diesel  |  Kolkata",Rs. 4.75 Lakh
2020 Maruti Suzuki Ignis Delta 1.2 AMT,"23,857 km  |  Petrol  |  Kolkata",Rs. 5.3 Lakh
2020 MG Hector Sharp 1.5 DCT Petrol [2019-2020],"38,502 km  |  Petrol  |  Kolkata",Rs. 13.75 Lakh
2022 Mahindra Scorpio 2021 S11,"7,799 km  |  Diesel  |  Kolkata",Rs. 15.99 Lakh
2022 Kia Sonet HTX 1.5 [2020-2021],"21,025 km  |  Diesel  |  Kolkata",Rs. 10.25 Lakh
2023 Maruti Suzuki Celerio ZXi Plus [2021-2023],"1,229 km  |  Petrol  |  Kolkata",Rs. 5.9 Lakh
2018 Maruti Suzuki S-Cross Alpha 1.6,"68,591 km  |  Diesel  |  Kolkata",Rs. 6.75 Lakh
2020 Hyundai Tucson 2WD AT GLS Diesel,"58,691 km  |  Diesel  |  Kolkata",Rs. 17 Lakh
2020 Audi A6 2.0 TFSi Technology Pack,"33,000 km  |  Petrol  |  Kolkata",Rs. 42 Lakh
2016 Toyota Fortuner 3.0 4x2 AT,"72,248 km  |  Diesel  |  Kolkata",Rs. 16.7 Lakh
2016 Honda City VX CVT,"51,132 km  |  Petrol  |  Kolkata",Rs. 6.35 Lakh
2021 Skoda Kushaq Ambition 1.0L TSI MT,"16,000 km  |  Petrol  |  Kolkata",Rs. 10.25 Lakh
2017 Nissan Micra Active XV,"17,150 km  |  Petrol  |  Kolkata",Rs. 3.25 Lakh
2017 BMW 5 Series 530i M Sport [2019-2019],"17,500 km  |  Petrol  |  Kolkata",Rs. 33.5 Lakh
2023 Kia Carens Luxury Plus 1.4 Petrol DCT 7 STR,"2,794 km  |  Petrol  |  Kolkata",Rs. 16.75 Lakh
2018 Mercedes-Benz C-Class C 250 d,"22,000 km  |  Diesel  |  Kolkata",Rs. 28.5 Lakh
2018 Toyota Fortuner 2.8 4x2 MT [2016-2020],"67,000 km  |  Diesel  |  Kolkata",Rs. 25.5 Lakh
2019 Ford EcoSport Titanium 1.5L TDCi [2019-2020],"58,000 km  |  Diesel  |  Kolkata",Rs. 6.65 Lakh
2014 Jaguar XJ L 3.0 Petrol,"45,386 km  |  Petrol  |  Kolkata",Rs. 28.99 Lakh
2018 Jeep Compass Limited 1.4 Petrol AT [2017-2020],"44,155 km  |  Petrol  |  Kolkata",Rs. 9.5 Lakh
2023 Kia Carnival Limousine Plus 7 STR,"2,000 km  |  Diesel  |  Kolkata",Rs. 37 Lakh
2019 Tata Nexon XZ Plus Diesel,"40,500 km  |  Diesel  |  Kolkata",Rs. 6.99 Lakh
2016 Maruti Suzuki Swift VXi [2014-2017],"44,275 km  |  Petrol  |  Kolkata",Rs. 3.75 Lakh
2013 Mercedes-Benz C-Class 220 CDI Sport,"40,238 km  |  Diesel  |  Kolkata",Rs. 9.95 Lakh
2017 Hyundai Elite i20 Era 1.2,"36,000 km  |  Petrol  |  Kolkata",Rs. 4 Lakh
2018 Maruti Suzuki Wagon R VXi 1.0 AMT [2019-2019],"35,629 km  |  Petrol  |  Kolkata",Rs. 4.25 Lakh
2015 Honda Jazz V AT Petrol,"32,000 km  |  Petrol  |  Kolkata",Rs. 4.4 Lakh
